aika,value
2017-03-15 14:00:06,25.5
2017-03-15 14:00:16,25.5
2017-03-15 14:00:26,25.5
2017-03-15 14:00:36,25.5
2017-03-15 14:00:47,25.5
2017-03-15 14:00:57,25.5
2017-03-15 14:01:07,25.5
2017-03-15 14:01:17,25.5
2017-03-15 14:01:27,25.5
2017-03-15 14:01:38,25.5
2017-03-15 14:01:48,25.5
2017-03-15 14:01:58,25.5
2017-03-15 14:02:09,25.5
2017-03-15 14:02:19,25.5
2017-03-15 14:02:29,25.5
2017-03-15 14:02:39,25.5
2017-03-15 14:02:49,25.5
2017-03-15 14:02:59,25.5
2017-03-15 14:03:10,
2017-03-15 14:03:20,25.5
2017-03-15 14:03:30,25.5
2017-03-15 14:03:41,25.5
2017-03-15 14:03:51,25.5
2017-03-15 14:04:01,25.5
2017-03-15 14:04:11,25.5
2017-03-15 14:04:21,25.5
2017-03-15 14:04:32,25.5
2017-03-15 14:04:42,25.5
2017-03-15 14:04:52,25.5
2017-03-15 14:05:02,25.5
2017-03-15 14:05:12,25.5
2017-03-15 14:05:22,25.5
2017-03-15 14:05:33,25.5
2017-03-15 14:05:43,25.5
2017-03-15 14:05:53,25.5
2017-03-15 14:06:03,25.5
2017-03-15 14:06:13,25.5
2017-03-15 14:06:23,25.5
2017-03-15 14:06:34,25.5
2017-03-15 14:06:44,25.5
2017-03-15 14:06:54,25.5
2017-03-15 14:07:04,25.5
2017-03-15 14:07:14,25.5
2017-03-15 14:07:24,25.5
2017-03-15 14:07:35,25.75
2017-03-15 14:07:45,25.75
2017-03-15 14:07:56,25.5
2017-03-15 14:08:06,25.5
2017-03-15 14:08:16,25.5
2017-03-15 14:08:27,25.5
2017-03-15 14:08:37,25.5
2017-03-15 14:08:47,25.5
2017-03-15 14:08:57,25.5
2017-03-15 14:09:07,25.5
2017-03-15 14:09:18,25.75
2017-03-15 14:09:28,25.75
2017-03-15 14:09:39,25.75
2017-03-15 14:09:49,25.75
2017-03-15 14:09:59,25.75
2017-03-15 14:10:09,25.75
2017-03-15 14:10:19,25.75
2017-03-15 14:10:30,25.75
2017-03-15 14:10:40,25.75
2017-03-15 14:10:50,25.5
2017-03-15 14:11:00,25.5
2017-03-15 14:11:11,25.75
2017-03-15 14:11:21,25.5
2017-03-15 14:11:31,25.5
2017-03-15 14:11:41,25.75
2017-03-15 14:11:51,25.75
2017-03-15 14:12:02,25.75
2017-03-15 14:12:12,25.75
2017-03-15 14:12:22,25.75
2017-03-15 14:12:32,25.75
2017-03-15 14:12:42,25.5
2017-03-15 14:12:52,25.75
2017-03-15 14:13:03,25.5
2017-03-15 14:13:13,25.5
2017-03-15 14:13:23,25.5
2017-03-15 14:13:33,25.5
2017-03-15 14:13:44,25.25
2017-03-15 14:13:54,25.5
2017-03-15 14:14:04,25.5
2017-03-15 14:14:14,
2017-03-15 14:14:24,25.5
2017-03-15 14:14:35,25.25
2017-03-15 14:14:45,25.5
2017-03-15 14:14:55,25.5
2017-03-15 14:15:05,25.5
2017-03-15 14:15:15,25.25
2017-03-15 14:15:26,25.5
2017-03-15 14:15:36,25.5
2017-03-15 14:15:46,25.5
2017-03-15 14:15:56,25.25
2017-03-15 14:16:06,25.5
2017-03-15 14:16:16,25.5
2017-03-15 14:16:27,25.5
2017-03-15 14:16:37,25.5
2017-03-15 14:16:47,25.25
2017-03-15 14:16:57,25.25
2017-03-15 14:17:07,25.5
2017-03-15 14:17:17,25.5
2017-03-15 14:17:28,25.25
2017-03-15 14:17:38,25.5
2017-03-15 14:17:48,25.5
2017-03-15 14:17:58,25.5
2017-03-15 14:18:08,25.25
2017-03-15 14:18:18,25.25
2017-03-15 14:18:29,25.25
2017-03-15 14:18:39,25.25
2017-03-15 14:18:49,25.5
2017-03-15 14:18:59,25.25
2017-03-15 14:19:09,25.25
2017-03-15 14:19:20,25.25
2017-03-15 14:19:30,25.5
2017-03-15 14:19:40,25.25
2017-03-15 14:19:50,25.5
2017-03-15 14:20:00,25.25
2017-03-15 14:20:10,25.25
2017-03-15 14:20:21,25.25
2017-03-15 14:20:31,25.5
2017-03-15 14:20:41,25.25
2017-03-15 14:20:51,25.25
2017-03-15 14:21:01,25.25
2017-03-15 14:21:11,25.25
2017-03-15 14:21:22,25.25
2017-03-15 14:21:32,25.25
2017-03-15 14:21:42,25.25
2017-03-15 14:21:52,25.25
2017-03-15 14:22:02,25.25
2017-03-15 14:22:12,25.25
2017-03-15 14:22:23,25.25
2017-03-15 14:22:33,25.25
2017-03-15 14:22:43,25.25
2017-03-15 14:22:53,25.25
2017-03-15 14:23:03,25.25
2017-03-15 14:23:14,25.25
2017-03-15 14:23:24,25.25
2017-03-15 14:23:34,25.25
2017-03-15 14:23:45,25.25
2017-03-15 14:23:55,25.25
2017-03-15 14:24:05,25.25
2017-03-15 14:24:15,25.25
2017-03-15 14:24:25,25.25
2017-03-15 14:24:35,25.25
2017-03-15 14:24:46,25.25
2017-03-15 14:24:56,25.25
2017-03-15 14:25:06,25.25
2017-03-15 14:25:17,25
2017-03-15 14:25:27,25.25
2017-03-15 14:25:37,25.25
2017-03-15 14:25:47,25.25
2017-03-15 14:25:57,25
2017-03-15 14:26:07,25.25
2017-03-15 14:26:18,25.25
2017-03-15 14:26:28,25.25
2017-03-15 14:26:38,25.25
2017-03-15 14:26:48,25.25
2017-03-15 14:26:58,25.25
2017-03-15 14:27:08,25.25
2017-03-15 14:27:19,25.25
2017-03-15 14:27:29,25.25
2017-03-15 14:27:39,25.25
2017-03-15 14:27:49,25.25
2017-03-15 14:27:59,25.25
2017-03-15 14:28:10,25.25
2017-03-15 14:28:20,25.25
2017-03-15 14:28:30,25.25
2017-03-15 14:28:40,25.25
2017-03-15 14:28:50,25
2017-03-15 14:29:00,25.25
2017-03-15 14:29:11,25.25
2017-03-15 14:29:21,25.25
2017-03-15 14:29:31,25
2017-03-15 14:29:41,25.25
2017-03-15 14:29:51,25
